"nombre","puntaje","episodios","favoritos"
"Fullmetal Alchemist: Brotherhood",9.19,64,183914
"Shingeki no Kyojin: The Final Season",9.17,16,44862
"Steins;Gate",9.11,24,148452
"Hunter x Hunter (2011)",9.1,148,147274
"Gintama<U+00B0>",9.1,51,11868
"Shingeki no Kyojin Season 3 Part 2",9.1,10,40985
"Gintama'",9.08,51,6567
"Gintama': Enchousen",9.04,13,2586
"3-gatsu no Lion 2nd Season",9,22,11133
"Gintama.",8.99,12,2397
"Gintama",8.96,201,48247
"Clannad: After Story",8.96,24,62162
"Owarimonogatari 2nd Season",8.93,7,6113
"Code Geass: Hangyaku no Lelouch R2",8.91,25,64482
"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou",8.87,10,12830
"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen",8.86,14,938
"Mob Psycho 100 II",8.84,13,20654
"Gintama.: Shirogane no Tamashii-hen",8.81,12,1060
"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen",8.79,12,2623
"Cowboy Bebop",8.78,26,61971
"Monogatari Series: Second Season",8.78,26,19644
"Monster",8.76,74,29436
"Mushishi Zoku Shou 2nd Season",8.76,10,1223
"Hajime no Ippo",8.75,75,15543
"Shigatsu wa Kimi no Uso",8.74,22,69557
"Made in Abyss",8.74,13,30354
"Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen",8.74,12,14682
"Haikyuu!! Second Season",8.73,25,13879
"Code Geass: Hangyaku no Lelouch",8.72,25,90487
"Mushishi Zoku Shou",8.72,10,1393
"Vinland Saga",8.71,24,17637
"Great Teacher Onizuka",8.7,43,20870
"Mushishi",8.69,26,23066
"Ashita no Joe 2",8.67,47,1546
"Hajime no Ippo: New Challenger",8.67,26,1598
"Natsume Yuujinchou Shi",8.67,13,1814
"Tengen Toppa Gurren Lagann",8.66,27,67916
"Natsume Yuujinchou Roku",8.65,11,930
"Yakusoku no Neverland",8.65,12,32542
"Violet Evergarden",8.64,13,34340
"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2",8.64,12,5059
"Death Note",8.63,37,145201
"Ping Pong the Animation",8.63,11,11436
"Kimetsu no Yaiba",8.62,26,51725
"Yojouhan Shinwa Taikei",8.61,11,14335
"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze",8.61,39,21884
"Yuru Camp<U+25B3> Season 2",8.61,13,903
"Natsume Yuujinchou San",8.6,13,1287
"Hajime no Ippo: Rising",8.6,25,1010
"Shouwa Genroku Rakugo Shinjuu",8.6,13,4906
"Horimiya",8.6,13,9065
"Fate/Zero 2nd Season",8.59,12,17197
"Natsume Yuujinchou Go",8.59,11,690
"Shingeki no Kyojin Season 3",8.59,12,14971
"Bakuman. 3rd Season",8.58,25,2815
"Zoku Natsume Yuujinchou",8.57,13,1413
"One Punch Man",8.57,12,54435
"Sora yori mo Tooi Basho",8.57,13,10283
"Haikyuu!!: To the Top 2nd Season",8.57,12,4333
"Koukaku Kidoutai: Stand Alone Complex 2nd GIG",8.54,26,3021
"Ansatsu Kyoushitsu 2nd Season",8.54,25,14144
"Fruits Basket 2nd Season",8.54,25,3013
"Jujutsu Kaisen (TV)",8.54,24,20816
"Slam Dunk",8.53,101,5471
"Aria the Origination",8.53,13,3612
"Haikyuu!!",8.53,25,54887
"Gintama.: Porori-hen",8.53,13,947
"Rainbow: Nisha Rokubou no Shichinin",8.52,26,7421
"Uchuu Kyoudai",8.52,99,3404
"Chihayafuru 3",8.52,24,1186
"Steins;Gate 0",8.51,23,8947
"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai",8.51,39,23817
"Samurai Champloo",8.5,26,29414
"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season",8.5,13,10010
"Kenpuu Denki Berserk",8.49,25,18567
"Mob Psycho 100",8.49,12,27971
"Nichijou",8.48,26,18399
"Shingeki no Kyojin",8.48,25,129844
"Saiki Kusuo no <U+03A8>-nan 2",8.48,24,3022
"Nana",8.46,47,16944
"Owarimonogatari",8.46,12,2296
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan",8.46,12,12632
"Golden Kamuy 3rd Season",8.46,12,541
"Yuu<U+2606>Yuu<U+2606>Hakusho",8.45,112,17768
"Koukaku Kidoutai: Stand Alone Complex",8.45,26,8128
"Major S5",8.45,25,586
"Shingeki no Kyojin Season 2",8.45,12,18262
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season",8.45,24,13852
"Saiki Kusuo no <U+03A8>-nan",8.45,120,15437
"Banana Fish",8.45,24,15886
"Kaze ga Tsuyoku Fuiteiru",8.45,23,4163
"Cross Game",8.43,50,2732
"Usagi Drop",8.43,11,5760
"Chihayafuru 2",8.43,25,1604
"3-gatsu no Lion",8.43,22,11242
"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen",8.43,12,22277
"Kono Oto Tomare! 2nd Season",8.43,13,974
"Hunter x Hunter",8.42,62,9525
"Mononoke",8.42,12,5686
"Baccano!",8.42,13,21857
