"anio","tema","artista","segundos"
1946,"Prisoner of Love","Perry Como",144
1947,"Near You","Francis Craig",141
1948,"Twelfth Street Rag","Pee Wee Hunt",147
1949,"Riders in the Sky","Vaughn Monroe Orchestra",173
1950,"Goodnight, Irene","Gordon Jenkins and The Weavers",145
1951,"Too Young","Nat King Cole",179
1952,"Blue Tango","Leroy Anderson",179
1953,"Song from Moulin Rouge","Percy Faith",152
1954,"Little Things Mean a Lot","Kitty Kallen",177
1955,"Cherry Pink and Apple Blossom White","Perez Prado",186
1956,"Heartbreak Hotel","Elvis Presley",128
1957,"All Shook Up","Elvis Presley",117
1958,"Nel Blu Dipinto di Blu (Volare)","Domenico Modugno",209
1959,"The Battle of New Orleans","Johnny Horton",153
1960,"Theme from A Summer Place","Percy Faith",145
1961,"Tossin' and Turnin'","Bobby Lewis",149
1962,"Stranger on the Shore","Mr. Acker Bilk",172
1963,"Surfin' U.S.A.","The Beach Boys",147
1964,"I Want to Hold Your Hand","The Beatles",144
1965,"Wooly Bully","Sam the Sham & the Pharaohs",140
1966,"California Dreamin'","The Mamas and the Papas",162
1967,"To Sir with Love","Lulu",167
1968,"Hey Jude","The Beatles",431
1969,"Sugar, Sugar","The Archies",168
1970,"Bridge over Troubled Water","Simon & Garfunkel",295
1971,"Joy to the World","Three Dog Night",220
1972,"The First Time Ever I Saw Your Face","Roberta Flack",322
1973,"Tie a Yellow Ribbon 'Round the Ole Oak Tree","Tony Orlando and Dawn",200
1974,"The Way We Were","Barbra Streisand",209
1975,"Love Will Keep Us Together","Captain & Tennille",204
1976,"Silly Love Songs","Wings",354
1977,"Tonight's the Night (Gonna Be Alright)","Rod Stewart",236
1978,"Shadow Dancing","Andy Gibb",274
1979,"My Sharona","The Knack",292
1980,"Call Me","Blondie",485
1981,"Bette Davis Eyes","Kim Carnes",228
1982,"Physical","Olivia Newton-John",224
1983,"Every Breath You Take","The Police",253
1984,"When Doves Cry","Prince",352
1985,"Careless Whisper","Wham!",390
1986,"That's What Friends Are For","Dionne & Friends",234
1987,"Walk Like an Egyptian","The Bangles",204
1988,"Faith","George Michael",196
1989,"Look Away","Chicago",242
1990,"Hold On","Wilson Phillips",267
1991,"(Everything I Do) I Do It for You","Bryan Adams",394
1992,"End of the Road","Boyz II Men",348
1993,"I Will Always Love You","Whitney Houston",174
1994,"The Sign","Ace of Base",188
1995,"Gangsta's Paradise","Coolio featuring L.V.",244
1996,"Macarena (Bayside Boys Mix)","Los del Río",252
1997,"Candle in the Wind /Something About the Way You Look Tonight","Elton John",251
1998,"Too Close","Next",260
1999,"Believe","Cher",239
2000,"Breathe","Faith Hill",249
2001,"Hanging by a Moment","Lifehouse",216
2002,"How You Remind Me","Nickelback",223
2003,"In Da Club","50 Cent",193
2004,"Yeah!","Usher featuring Lil Jon and Ludacris",250
2005,"We Belong Together","Mariah Carey",201
2006,"Bad Day","Daniel Powter",234
2007,"Irreplaceable","Beyoncé",227
2008,"Low","Flo Rida featuring T-Pain",230
2009,"Boom Boom Pow","The Black Eyed Peas",308
2010,"Tik Tok","Kesha",200
2011,"Rolling in the Deep","Adele",228
2012,"Somebody That I Used to Know","Gotye featuring Kimbra",244
2013,"Thrift Shop","Macklemore & Ryan Lewis featuring Wanz",235
2014,"Happy","Pharrell Williams",235
2015,"Uptown Funk","Mark Ronson featuring Bruno Mars",270
2016,"Love Yourself","Justin Bieber",233
2017,"Shape of You","Ed Sheeran",233
2018,"God's Plan","Drake",199
2019,"Old Town Road","Lil Nas X featuring Billy Ray Cyrus",157
2020,"Blinding Lights","The Weeknd",201
2021,"Levitating","Dua Lipa",203
