date,precio
06.02.2022,41573
05.02.2022,41454
04.02.2022,41562.7
03.02.2022,37331
02.02.2022,36925
01.02.2022,38733
31.01.2022,38526
30.01.2022,37939
29.01.2022,38197
28.01.2022,37759.8
27.01.2022,37217
26.01.2022,36830.8
25.01.2022,36994
24.01.2022,36702
23.01.2022,36308
22.01.2022,35103
21.01.2022,36501
20.01.2022,40740
19.01.2022,41676
18.01.2022,42390
17.01.2022,42242
16.01.2022,43084
15.01.2022,43069
14.01.2022,43091
13.01.2022,42562
12.01.2022,43909
11.01.2022,42743
10.01.2022,41839
09.01.2022,41850
08.01.2022,41679
07.01.2022,41518
06.01.2022,43111
05.01.2022,43418
04.01.2022,45830
03.01.2022,46445
02.01.2022,47314
01.01.2022,47755
31.12.2021,46218
30.12.2021,47156
29.12.2021,46465
28.12.2021,47554
27.12.2021,50684
26.12.2021,50797
25.12.2021,50437
24.12.2021,50815
23.12.2021,50812
22.12.2021,48626
21.12.2021,48923
20.12.2021,46898
19.12.2021,46716.5
18.12.2021,46879
17.12.2021,46193
16.12.2021,47675
15.12.2021,48901
14.12.2021,48408
13.12.2021,46777
12.12.2021,50123
11.12.2021,49363.1
10.12.2021,47170
09.12.2021,47611
08.12.2021,50503.4
07.12.2021,50634
06.12.2021,50566.6
05.12.2021,49469
04.12.2021,49272
03.12.2021,53709
02.12.2021,56517
01.12.2021,57250
30.11.2021,56938
29.11.2021,57845
28.11.2021,57325
27.11.2021,54836
26.11.2021,53738
25.11.2021,58995
24.11.2021,57209
23.11.2021,57602
22.11.2021,56299
21.11.2021,58790
20.11.2021,59739
19.11.2021,58130
18.11.2021,57014
17.11.2021,60386.1
16.11.2021,60124
15.11.2021,63562
14.11.2021,65471
13.11.2021,64406
12.11.2021,64156
11.11.2021,64801
10.11.2021,64954
09.11.2021,66935
08.11.2021,67526
07.11.2021,63259.1
06.11.2021,61496
05.11.2021,61016.4
04.11.2021,61422.8
03.11.2021,62904
02.11.2021,63249
01.11.2021,60927
31.10.2021,61330
30.10.2021,61838.8
29.10.2021,62235
28.10.2021,60598
27.10.2021,58453
26.10.2021,60290
25.10.2021,63100
24.10.2021,60847
23.10.2021,61302
22.10.2021,60708
21.10.2021,62200
20.10.2021,65988
19.10.2021,64237
18.10.2021,62034
17.10.2021,61511
16.10.2021,60867.5
15.10.2021,61709
14.10.2021,57354
13.10.2021,57381
12.10.2021,55967
11.10.2021,57468
10.10.2021,54701
09.10.2021,54978
08.10.2021,53925
07.10.2021,53793
06.10.2021,55331
05.10.2021,51508
04.10.2021,49252
03.10.2021,48243
02.10.2021,47675
01.10.2021,48157
30.09.2021,43830
29.09.2021,41551
28.09.2021,41064
27.09.2021,42191
26.09.2021,43180
25.09.2021,42711
24.09.2021,42878
23.09.2021,44882
22.09.2021,43582.6
21.09.2021,40664
20.09.2021,43002
19.09.2021,47239
18.09.2021,48309
17.09.2021,47292
16.09.2021,47786
15.09.2021,48136
14.09.2021,47078
13.09.2021,44960
12.09.2021,46069
11.09.2021,45169
10.09.2021,44852
09.09.2021,46389
08.09.2021,46088
07.09.2021,46778
06.09.2021,52676
05.09.2021,51762
04.09.2021,49899
03.09.2021,50000
02.09.2021,49291
01.09.2021,48844
31.08.2021,47157
30.08.2021,47008
29.08.2021,48800
28.08.2021,48914
27.08.2021,49076.1
26.08.2021,46832
25.08.2021,48989
24.08.2021,47714
23.08.2021,49539
22.08.2021,49264
21.08.2021,48868
20.08.2021,49332
19.08.2021,46765
18.08.2021,44744
17.08.2021,44698
16.08.2021,45940
15.08.2021,47031
14.08.2021,47084
13.08.2021,47842
12.08.2021,44423
11.08.2021,45546
10.08.2021,45612
09.08.2021,46293
08.08.2021,43770
07.08.2021,44589
06.08.2021,42830
05.08.2021,40887
04.08.2021,39754
03.08.2021,38207
02.08.2021,39156
01.08.2021,39922
31.07.2021,41409
30.07.2021,42169
29.07.2021,40041
28.07.2021,40004
27.07.2021,39563
26.07.2021,37296
25.07.2021,35407
24.07.2021,33845
23.07.2021,33597.1
22.07.2021,32320
21.07.2021,32141
20.07.2021,29806.1
19.07.2021,30847
18.07.2021,31824
17.07.2021,31559
16.07.2021,31429
15.07.2021,31857
14.07.2021,32822.6
13.07.2021,32727
12.07.2021,33090
11.07.2021,34239
10.07.2021,33506
09.07.2021,33769
08.07.2021,32873.9
07.07.2021,33886
06.07.2021,34140
05.07.2021,33668
04.07.2021,35289
03.07.2021,34758
02.07.2021,33816
01.07.2021,33554.4
