estado,rangos
AGU,1
AGU,1674
BCN,1
BCN,2999
BCS,1
BCS,1140
CAM,1
CAM,1264
CDMX,1
CDMX,308686
CHH,1
CHH,2451
CHP,1
CHP,5714
COA,1
COA,1506
COL,1
COL,1033
DUR,1
DUR,975
Edomex,1
Edomex,150655
GRO,1
GRO,11351
GUA,1
GUA,5429
HID,1
HID,10214
JAL,1
JAL,8449
MIC,1
MIC,7069
MOR,1
MOR,9750
NAY,1
NAY,698
NLE,1
NLE,5511
OAX,1
OAX,13156
PUE,1
PUE,19119
QUE,1
QUE,5735
ROO,1
ROO,4320
SIN,1
SIN,2561
SLP,1
SLP,2018
SON,1
SON,2086
TAB,1
TAB,3253
TAM,1
TAM,2703
TLA,1
TLA,3001
VER,1
VER,19743
YUC,1
YUC,2186
ZAC,1
ZAC,923
